job_id,candidate_id,similarity_score,rank
J1,C100,0.5524,1
J1,C85,0.5524,2
J1,C90,0.5524,3
J1,C95,0.5524,4
J1,C70,0.5524,5
J2,C86,0.8997,1
J2,C81,0.8997,2
J2,C91,0.8997,3
J2,C96,0.8997,4
J2,C71,0.8997,5
J3,C97,0.7872,1
J3,C82,0.7872,2
J3,C87,0.7872,3
J3,C92,0.7872,4
J3,C72,0.7872,5
J4,C98,0.8785,1
J4,C83,0.8785,2
J4,C88,0.8785,3
J4,C93,0.8785,4
J4,C73,0.8785,5
J5,C100,0.8483,1
J5,C85,0.8483,2
J5,C90,0.8483,3
J5,C95,0.8483,4
J5,C70,0.8483,5
J6,C99,0.1262,1
J6,C84,0.1262,2
J6,C89,0.1262,3
J6,C94,0.1262,4
J6,C74,0.1262,5
J7,C86,0.229,1
J7,C81,0.229,2
J7,C91,0.229,3
J7,C96,0.229,4
J7,C71,0.229,5
J8,C100,0.4581,1
J8,C85,0.4581,2
J8,C90,0.4581,3
J8,C95,0.4581,4
J8,C70,0.4581,5
J9,C86,0.2608,1
J9,C81,0.2608,2
J9,C91,0.2608,3
J9,C96,0.2608,4
J9,C71,0.2608,5
J10,C97,0.4465,1
J10,C82,0.4465,2
J10,C87,0.4465,3
J10,C92,0.4465,4
J10,C72,0.4465,5
